identity_id,platform,direct_group,parent_group,effective_privilege,is_nested_admin
ID0006,Okta,ServiceNow,,standard,False
ID0006,Okta,Slack,,standard,False
ID0006,Okta,CyberArk,,elevated,False
ID0006,Okta,Okta Admin Console,,admin,True
ID0007,AD,GG-Finance-Staff,,standard,False
ID0007,AD,GG-SAP-Users,GG-Finance-Staff,standard,False
ID0007,AD,GG-ReadOnly-FS,,limited,False
ID0007,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0007,AWS,arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess,,standard,False
ID0007,Okta,Workday,,standard,False
ID0007,Okta,Slack,,standard,False
ID0008,AD,GG-HR-Staff,,standard,False
ID0008,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0008,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0008,Okta,Workday,,standard,False
ID0008,Okta,Slack,,standard,False
ID0008,Okta,ServiceNow,,standard,False
ID0009,AD,GG-HR-Staff,,standard,False
ID0009,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0009,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0009,Okta,Workday,,standard,False
ID0009,Okta,Slack,,standard,False
ID0009,Okta,ServiceNow,,standard,False
ID0010,AD,GG-Sales-Staff,,standard,False
ID0010,AD,GG-CRM-Access,GG-Sales-Staff,standard,False
ID0010,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0010,Okta,Salesforce,,standard,False
ID0010,Okta,Slack,,standard,False
ID0011,AD,GG-Sales-Staff,,standard,False
ID0011,AD,GG-CRM-Access,GG-Sales-Staff,standard,False
ID0011,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0011,Okta,Salesforce,,standard,False
ID0011,Okta,Slack,,standard,False
ID0012,AD,GG-HR-Staff,,standard,False
ID0012,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0012,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0012,Okta,Workday,,standard,False
ID0012,Okta,Slack,,standard,False
ID0012,Okta,ServiceNow,,standard,False
ID0013,AD,GG-HR-Staff,,standard,False
ID0013,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0013,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0013,Okta,Workday,,standard,False
ID0013,Okta,Slack,,standard,False
ID0013,Okta,ServiceNow,,standard,False
ID0014,AD,GG-IT-Staff,GG-Infra-Ops,standard,False
ID0014,AD,GG-Infra-Ops,GG-Domain-Admins,elevated,True
ID0014,AD,GG-ServiceDesk,GG-Infra-Ops,standard,False
ID0014,AD,GG-Domain-Admins,,admin,True
ID0014,AWS,arn:aws:iam::aws:policy/AdministratorAccess,,admin,True
ID0014,Okta,AWS SSO,,standard,False
ID0014,Okta,GitHub Enterprise,,standard,False
ID0014,Okta,ServiceNow,,standard,False
ID0014,Okta,Slack,,standard,False
ID0014,Okta,CyberArk,,elevated,False
ID0014,Okta,Okta Admin Console,,admin,True
ID0015,AD,GG-Finance-Staff,,standard,False
ID0015,AD,GG-SAP-Users,GG-Finance-Staff,standard,False
ID0015,AD,GG-ReadOnly-FS,,limited,False
ID0015,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0015,AWS,arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess,,standard,False
ID0015,Okta,Workday,,standard,False
ID0015,Okta,Slack,,standard,False
ID0016,AD,GG-Legal-Staff,,standard,False
ID0016,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0016,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0016,Okta,Slack,,standard,False
ID0017,AD,GG-Finance-Staff,,standard,False
ID0017,AD,GG-SAP-Users,GG-Finance-Staff,standard,False
ID0017,AD,GG-ReadOnly-FS,,limited,False
ID0017,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0017,AWS,arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess,,standard,False
ID0017,Okta,Workday,,standard,False
ID0017,Okta,Slack,,standard,False
ID0018,AD,GG-HR-Staff,,standard,False
ID0018,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0018,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0018,Okta,Workday,,standard,False
ID0018,Okta,Slack,,standard,False
ID0018,Okta,ServiceNow,,standard,False
ID0019,AD,GG-Dev-Staff,,standard,False
ID0019,AD,GG-Git-Users,GG-Dev-Staff,standard,False
ID0019,AD,GG-VPN-Access,,standard,False
ID0019,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0019,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0019,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0019,Okta,GitHub Enterprise,,standard,False
ID0019,Okta,AWS SSO,,standard,False
ID0019,Okta,Jira,,standard,False
ID0019,Okta,Slack,,standard,False
ID0020,AD,GG-IT-Staff,GG-Infra-Ops,standard,False
ID0020,AD,GG-Infra-Ops,GG-Domain-Admins,elevated,True
ID0020,AD,GG-ServiceDesk,GG-Infra-Ops,standard,False
ID0020,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0020,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0020,Okta,AWS SSO,,standard,False
ID0020,Okta,GitHub Enterprise,,standard,False
ID0020,Okta,ServiceNow,,standard,False
ID0020,Okta,Slack,,standard,False
ID0020,Okta,CyberArk,,elevated,False
ID0020,Okta,Okta Admin Console,,admin,True
ID0021,AD,GG-HR-Staff,,standard,False
ID0021,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0021,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0021,Okta,Workday,,standard,False
ID0021,Okta,Slack,,standard,False
ID0021,Okta,ServiceNow,,standard,False
ID0022,AD,GG-Legal-Staff,,standard,False
ID0022,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0022,AD,GG-Domain-Admins,,admin,True
ID0022,AWS,arn:aws:iam::aws:policy/AdministratorAccess,,admin,True
ID0022,Okta,Slack,,standard,False
ID0023,AD,GG-Legal-Staff,,standard,False
ID0023,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0023,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0023,Okta,Slack,,standard,False
ID0024,AD,GG-HR-Staff,,standard,False
ID0024,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0024,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0024,Okta,Workday,,standard,False
ID0024,Okta,Slack,,standard,False
ID0024,Okta,ServiceNow,,standard,False
ID0025,AD,GG-Dev-Staff,,standard,False
ID0025,AD,GG-Git-Users,GG-Dev-Staff,standard,False
ID0025,AD,GG-VPN-Access,,standard,False
ID0025,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0025,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0025,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0025,Okta,GitHub Enterprise,,standard,False
ID0025,Okta,AWS SSO,,standard,False
ID0025,Okta,Jira,,standard,False
ID0025,Okta,Slack,,standard,False
ID0026,AD,GG-Legal-Staff,,standard,False
ID0026,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0026,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0026,Okta,Slack,,standard,False
ID0027,AD,GG-Sales-Staff,,standard,False
ID0027,AD,GG-CRM-Access,GG-Sales-Staff,standard,False
ID0027,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0027,Okta,Salesforce,,standard,False
ID0027,Okta,Slack,,standard,False
ID0028,AD,GG-Dev-Staff,,standard,False
ID0028,AD,GG-Git-Users,GG-Dev-Staff,standard,False
ID0028,AD,GG-VPN-Access,,standard,False
ID0028,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0028,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0028,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0028,Okta,GitHub Enterprise,,standard,False
ID0028,Okta,AWS SSO,,standard,False
ID0028,Okta,Jira,,standard,False
ID0028,Okta,Slack,,standard,False
ID0029,AD,GG-Sales-Staff,,standard,False
ID0029,AD,GG-CRM-Access,GG-Sales-Staff,standard,False
ID0029,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0029,Okta,Salesforce,,standard,False
ID0029,Okta,Slack,,standard,False
ID0030,AD,GG-HR-Staff,,standard,False
ID0030,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0030,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0030,Okta,Workday,,standard,False
ID0030,Okta,Slack,,standard,False
ID0030,Okta,ServiceNow,,standard,False
ID0031,AD,GG-Legal-Staff,,standard,False
ID0031,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0031,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0031,Okta,Slack,,standard,False
ID0032,AD,GG-Sales-Staff,,standard,False
ID0032,AD,GG-CRM-Access,GG-Sales-Staff,standard,False
ID0032,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0032,Okta,Salesforce,,standard,False
ID0032,Okta,Slack,,standard,False
ID0033,AD,GG-Legal-Staff,,standard,False
ID0033,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0033,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0033,Okta,Slack,,standard,False
ID0034,AD,GG-Sales-Staff,,standard,False
ID0034,AD,GG-CRM-Access,GG-Sales-Staff,standard,False
ID0034,AD,GG-Domain-Admins,,admin,True
ID0034,AWS,arn:aws:iam::aws:policy/AdministratorAccess,,admin,True
ID0034,Okta,Salesforce,,standard,False
ID0034,Okta,Slack,,standard,False
ID0035,AD,GG-IT-Staff,GG-Infra-Ops,standard,False
ID0035,AD,GG-Infra-Ops,GG-Domain-Admins,elevated,True
ID0035,AD,GG-ServiceDesk,GG-Infra-Ops,standard,False
ID0035,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0035,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0035,Okta,AWS SSO,,standard,False
ID0035,Okta,GitHub Enterprise,,standard,False
ID0035,Okta,ServiceNow,,standard,False
ID0035,Okta,Slack,,standard,False
ID0035,Okta,CyberArk,,elevated,False
ID0035,Okta,Okta Admin Console,,admin,True
ID0036,AD,GG-HR-Staff,,standard,False
ID0036,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0036,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0036,Okta,Workday,,standard,False
ID0036,Okta,Slack,,standard,False
ID0036,Okta,ServiceNow,,standard,False
ID0037,AD,GG-Dev-Staff,,standard,False
ID0037,AD,GG-Git-Users,GG-Dev-Staff,standard,False
ID0037,AD,GG-VPN-Access,,standard,False
ID0037,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0037,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0037,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0037,Okta,GitHub Enterprise,,standard,False
ID0037,Okta,AWS SSO,,standard,False
ID0037,Okta,Jira,,standard,False
ID0037,Okta,Slack,,standard,False
ID0038,AD,GG-Sales-Staff,,standard,False
ID0038,AD,GG-CRM-Access,GG-Sales-Staff,standard,False
ID0038,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0038,Okta,Salesforce,,standard,False
ID0038,Okta,Slack,,standard,False
ID0039,AD,GG-Sales-Staff,,standard,False
ID0039,AD,GG-CRM-Access,GG-Sales-Staff,standard,False
ID0039,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0039,Okta,Salesforce,,standard,False
ID0039,Okta,Slack,,standard,False
ID0040,AD,GG-IT-Staff,GG-Infra-Ops,standard,False
ID0040,AD,GG-Infra-Ops,GG-Domain-Admins,elevated,True
ID0040,AD,GG-ServiceDesk,GG-Infra-Ops,standard,False
ID0040,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0040,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0040,Okta,AWS SSO,,standard,False
ID0040,Okta,GitHub Enterprise,,standard,False
ID0040,Okta,ServiceNow,,standard,False
ID0040,Okta,Slack,,standard,False
ID0040,Okta,CyberArk,,elevated,False
ID0041,AD,GG-Legal-Staff,,standard,False
ID0041,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0041,AD,GG-Domain-Admins,,admin,True
ID0041,AWS,arn:aws:iam::aws:policy/AdministratorAccess,,admin,True
ID0041,Okta,Slack,,standard,False
ID0042,AD,GG-Legal-Staff,,standard,False
ID0042,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0042,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0042,Okta,Slack,,standard,False
ID0043,AD,GG-IT-Staff,GG-Infra-Ops,standard,False
ID0043,AD,GG-Infra-Ops,GG-Domain-Admins,elevated,True
ID0043,AD,GG-ServiceDesk,GG-Infra-Ops,standard,False
ID0043,AD,GG-Domain-Admins,,admin,True
ID0043,AWS,arn:aws:iam::aws:policy/AdministratorAccess,,admin,True
ID0043,Okta,AWS SSO,,standard,False
ID0043,Okta,GitHub Enterprise,,standard,False
ID0043,Okta,ServiceNow,,standard,False
ID0043,Okta,Slack,,standard,False
ID0043,Okta,CyberArk,,elevated,False
ID0043,Okta,Okta Admin Console,,admin,True
ID0044,AD,GG-Sales-Staff,,standard,False
ID0044,AD,GG-CRM-Access,GG-Sales-Staff,standard,False
ID0044,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0044,Okta,Salesforce,,standard,False
ID0044,Okta,Slack,,standard,False
ID0045,AD,GG-Legal-Staff,,standard,False
ID0045,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0045,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0045,Okta,Slack,,standard,False
ID0046,AD,GG-HR-Staff,,standard,False
ID0046,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0046,AD,GG-Domain-Admins,,admin,True
ID0046,AWS,arn:aws:iam::aws:policy/AdministratorAccess,,admin,True
ID0046,Okta,Workday,,standard,False
ID0046,Okta,Slack,,standard,False
ID0046,Okta,ServiceNow,,standard,False
ID0047,AD,GG-IT-Staff,GG-Infra-Ops,standard,False
ID0047,AD,GG-Infra-Ops,GG-Domain-Admins,elevated,True
ID0047,AD,GG-ServiceDesk,GG-Infra-Ops,standard,False
ID0047,AD,GG-Domain-Admins,,admin,True
ID0047,AWS,arn:aws:iam::aws:policy/AdministratorAccess,,admin,True
ID0047,Okta,AWS SSO,,standard,False
ID0047,Okta,GitHub Enterprise,,standard,False
ID0047,Okta,ServiceNow,,standard,False
ID0047,Okta,Slack,,standard,False
ID0047,Okta,CyberArk,,elevated,False
ID0047,Okta,Okta Admin Console,,admin,True
ID0048,AD,GG-Sales-Staff,,standard,False
ID0048,AD,GG-CRM-Access,GG-Sales-Staff,standard,False
ID0048,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0048,Okta,Salesforce,,standard,False
ID0048,Okta,Slack,,standard,False
ID0049,AD,GG-IT-Staff,GG-Infra-Ops,standard,False
ID0049,AD,GG-Infra-Ops,GG-Domain-Admins,elevated,True
ID0049,AD,GG-ServiceDesk,GG-Infra-Ops,standard,False
ID0049,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0049,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0049,Okta,AWS SSO,,standard,False
ID0049,Okta,GitHub Enterprise,,standard,False
ID0049,Okta,ServiceNow,,standard,False
ID0049,Okta,Slack,,standard,False
ID0049,Okta,CyberArk,,elevated,False
ID0049,Okta,Okta Admin Console,,admin,True
ID0050,AD,GG-IT-Staff,GG-Infra-Ops,standard,False
ID0050,AD,GG-Infra-Ops,GG-Domain-Admins,elevated,True
ID0050,AD,GG-ServiceDesk,GG-Infra-Ops,standard,False
ID0050,AD,GG-Domain-Admins,,admin,True
ID0050,AWS,arn:aws:iam::aws:policy/AdministratorAccess,,admin,True
ID0050,Okta,AWS SSO,,standard,False
ID0050,Okta,GitHub Enterprise,,standard,False
ID0050,Okta,ServiceNow,,standard,False
ID0050,Okta,Slack,,standard,False
ID0050,Okta,CyberArk,,elevated,False
ID0050,Okta,Okta Admin Console,,admin,True
ID0051,AD,GG-Legal-Staff,,standard,False
ID0051,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0051,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0051,Okta,Slack,,standard,False
ID0052,AD,GG-Legal-Staff,,standard,False
ID0052,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0052,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0052,Okta,Slack,,standard,False
ID0053,AD,GG-Finance-Staff,,standard,False
ID0053,AD,GG-SAP-Users,GG-Finance-Staff,standard,False
ID0053,AD,GG-ReadOnly-FS,,limited,False
ID0053,AD,GG-Domain-Admins,,admin,True
ID0053,AWS,arn:aws:iam::aws:policy/AdministratorAccess,,admin,True
ID0053,Okta,Workday,,standard,False
ID0053,Okta,Slack,,standard,False
ID0054,AD,GG-HR-Staff,,standard,False
ID0054,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0054,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0054,Okta,Workday,,standard,False
ID0054,Okta,Slack,,standard,False
ID0054,Okta,ServiceNow,,standard,False
ID0055,AD,GG-IT-Staff,GG-Infra-Ops,standard,False
ID0055,AD,GG-Infra-Ops,GG-Domain-Admins,elevated,True
ID0055,AD,GG-ServiceDesk,GG-Infra-Ops,standard,False
ID0055,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0055,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0055,Okta,AWS SSO,,standard,False
ID0055,Okta,GitHub Enterprise,,standard,False
ID0055,Okta,ServiceNow,,standard,False
ID0055,Okta,Slack,,standard,False
ID0055,Okta,CyberArk,,elevated,False
ID0056,AD,GG-Dev-Staff,,standard,False
ID0056,AD,GG-Git-Users,GG-Dev-Staff,standard,False
ID0056,AD,GG-VPN-Access,,standard,False
ID0056,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0056,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0056,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0056,Okta,GitHub Enterprise,,standard,False
ID0056,Okta,AWS SSO,,standard,False
ID0056,Okta,Jira,,standard,False
ID0056,Okta,Slack,,standard,False
ID0057,AD,GG-Finance-Staff,,standard,False
ID0057,AD,GG-SAP-Users,GG-Finance-Staff,standard,False
ID0057,AD,GG-ReadOnly-FS,,limited,False
ID0057,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0057,AWS,arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess,,standard,False
ID0057,Okta,Workday,,standard,False
ID0057,Okta,Slack,,standard,False
ID0058,AD,GG-Dev-Staff,,standard,False
ID0058,AD,GG-Git-Users,GG-Dev-Staff,standard,False
ID0058,AD,GG-VPN-Access,,standard,False
ID0058,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0058,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0058,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0058,Okta,GitHub Enterprise,,standard,False
ID0058,Okta,AWS SSO,,standard,False
ID0058,Okta,Jira,,standard,False
ID0058,Okta,Slack,,standard,False
ID0059,AD,GG-HR-Staff,,standard,False
ID0059,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0059,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0059,Okta,Workday,,standard,False
ID0059,Okta,Slack,,standard,False
ID0059,Okta,ServiceNow,,standard,False
ID0060,AD,GG-Legal-Staff,,standard,False
ID0060,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0060,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0060,Okta,Slack,,standard,False
ID0061,AD,GG-Finance-Staff,,standard,False
ID0061,AD,GG-SAP-Users,GG-Finance-Staff,standard,False
ID0061,AD,GG-ReadOnly-FS,,limited,False
ID0061,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0061,AWS,arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess,,standard,False
ID0061,Okta,Workday,,standard,False
ID0061,Okta,Slack,,standard,False
ID0062,AD,GG-Dev-Staff,,standard,False
ID0062,AD,GG-Git-Users,GG-Dev-Staff,standard,False
ID0062,AD,GG-VPN-Access,,standard,False
ID0062,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0062,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0062,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0062,Okta,GitHub Enterprise,,standard,False
ID0062,Okta,AWS SSO,,standard,False
ID0062,Okta,Jira,,standard,False
ID0062,Okta,Slack,,standard,False
ID0063,AD,GG-Sales-Staff,,standard,False
ID0063,AD,GG-CRM-Access,GG-Sales-Staff,standard,False
ID0063,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0063,Okta,Salesforce,,standard,False
ID0063,Okta,Slack,,standard,False
ID0064,AD,GG-Dev-Staff,,standard,False
ID0064,AD,GG-Git-Users,GG-Dev-Staff,standard,False
ID0064,AD,GG-VPN-Access,,standard,False
ID0064,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0064,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0064,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0064,Okta,GitHub Enterprise,,standard,False
ID0064,Okta,AWS SSO,,standard,False
ID0064,Okta,Jira,,standard,False
ID0064,Okta,Slack,,standard,False
ID0065,AD,GG-Sales-Staff,,standard,False
ID0065,AD,GG-CRM-Access,GG-Sales-Staff,standard,False
ID0065,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0065,Okta,Salesforce,,standard,False
ID0065,Okta,Slack,,standard,False
ID0066,AD,GG-IT-Staff,GG-Infra-Ops,standard,False
ID0066,AD,GG-Infra-Ops,GG-Domain-Admins,elevated,True
ID0066,AD,GG-ServiceDesk,GG-Infra-Ops,standard,False
ID0066,AD,GG-Domain-Admins,,admin,True
ID0066,AWS,arn:aws:iam::aws:policy/AdministratorAccess,,admin,True
ID0066,Okta,AWS SSO,,standard,False
ID0066,Okta,GitHub Enterprise,,standard,False
ID0066,Okta,ServiceNow,,standard,False
ID0066,Okta,Slack,,standard,False
ID0066,Okta,CyberArk,,elevated,False
ID0066,Okta,Okta Admin Console,,admin,True
ID0067,AD,GG-HR-Staff,,standard,False
ID0067,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0067,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0067,Okta,Workday,,standard,False
ID0067,Okta,Slack,,standard,False
ID0067,Okta,ServiceNow,,standard,False
ID0068,AD,GG-HR-Staff,,standard,False
ID0068,AD,GG-HRIS-Access,GG-HR-Staff,standard,False
ID0068,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0068,Okta,Workday,,standard,False
ID0068,Okta,Slack,,standard,False
ID0068,Okta,ServiceNow,,standard,False
ID0069,AD,GG-IT-Staff,GG-Infra-Ops,standard,False
ID0069,AD,GG-Infra-Ops,GG-Domain-Admins,elevated,True
ID0069,AD,GG-ServiceDesk,GG-Infra-Ops,standard,False
ID0069,AD,GG-Domain-Admins,,admin,True
ID0069,AWS,arn:aws:iam::aws:policy/AdministratorAccess,,admin,True
