username,Active Directory,AWS IAM,Okta,ad_effective_privilege,ad_direct_privilege,ad_inherited_privilege,aws_effective_privilege,aws_direct_privilege,aws_inherited_privilege,okta_effective_privilege,okta_direct_privilege,okta_inherited_privilege
ashley.dyer,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
pamela.romero,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
paula.moreno,Power User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
shawn.arroyo,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
joseph.obrien,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
joseph.martinez,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
taylor.heath,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
dana.kennedy,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
victoria.garcia,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
javier.ramirez,User,User,Admin,GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
tammy.allison,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
mrs..gibson,Admin,Admin,User,GG-Domain-Admins,"GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins",GG-Legal-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
lauren.daniels,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
cody.larson,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
krystal.stewart,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
timothy.walls,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
timothy.ibarra,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
robert.evans,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
douglas.clark,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
jeff.hill,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
ashley.landry,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
rebecca.valencia,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
nicole.frost,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
evelyn.galvan,Admin,Admin,User,GG-Domain-Admins,"GG-Sales-Staff, GG-CRM-Access, GG-Domain-Admins",GG-Sales-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
robert.stevens,User,User,Admin,GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
benjamin.ayala,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
victor.baker,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
kenneth.scott,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
benjamin.beck,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
cheryl.ortega,User,User,User,GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,CyberArk,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk",None
jeffrey.carpenter,Admin,Admin,User,GG-Domain-Admins,"GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins",GG-Legal-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
diane.beck,Power User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
william.carr,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
michael.stafford,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
robert.contreras,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
natasha.wells,Admin,Admin,User,GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-HR-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
cynthia.rogers,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
jennifer.clark,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
aaron.bell,User,User,Admin,GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
don.md,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
leslie.alvarado,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
gabriel.juarez,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
trevor.walker,Admin,Admin,User,GG-Domain-Admins,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS, GG-Domain-Admins",GG-Finance-Staff,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
cynthia.wells,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
carla.collins,User,User,User,GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,CyberArk,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk",None
sandra.sanchez,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
matthew.smith,Power User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
jessica.gross,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
david.michael,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
daniel.salinas,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
peter.dds,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
kevin.kennedy,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
nathan.stewart,User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
veronica.wall,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
anthony.carter,Power User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
jeremiah.lopez,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
mark.brown,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
lisa.gibbs,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
marc.lynch,Admin,Admin,User,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,CyberArk,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk",None
juan.moore,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
jordan.mcdaniel,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
samantha.jones,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
terri.mason,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
allison.perez,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
matthew.moon,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
michael.hodge,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
